Timestamp,Identifier,What duck do you feel like today?,"In general, how comfortable (versus shaky) to you feel about writing code?","In general, how comfortable (versus shaky) to you feel with statistics, probability, and math stuff?",What Data Science (DATA) courses have you taken at Berkeley?,What Statistics department (STAT) courses have you taken at Berkeley?,What programming language are you most familiar with?,What year are you in your program?,What is your major?,What do you think is the best TV series of all time?,Fake Test Score
6/24/2025 15:11:23,A,1,2,3,"DATA C104, DATA C88C",Stat 155,R,4th+ year undergrad,bio,Fleabag,0.9482309815
6/24/2025 15:08:15,B,1,2,4,"Data 8, Data C88C",N/A,Python,4th+ year undergrad,literature,White Lotus,0.03615732621
6/24/2025 15:35:38,C,1,4,3,,STAT 20,R,4th+ year undergrad,psych,"Attack on Titan, Bojack Horseman",0.7129929763
6/24/2025 15:06:02,D,2,3,3,"DATA 8, DATA C88C, DATA C88S, DATA C104",none,R,4th+ year undergrad,econ,The Boondocks,0.043775241
6/24/2025 14:39:40,E,3,1,1,Data 8,,Python,4th+ year undergrad,music,Gilmore Girls,0.1782799176
6/24/2025 15:00:11,F,4,2,3,"Data 8, Data c88c",Stat 133,R,4th+ year undergrad,cogsci,Adolescence,0.1109187338
6/24/2025 20:01:49,G,4,2,1,"Data 8, Data C88C","Stat 88
Stat 133",Python,4th+ year undergrad,econ,"Adventure Time, Mo",0.04139242515
6/24/2025 15:22:31,H,5,1,3,Data 8,"Stat 20
Stat 133",Python,4th+ year undergrad,polisci,Better Call Saul,0.9711646544
6/24/2025 15:09:36,J,5,4,4,"Data 8, Data C88S, Data C104",Stat 133,R,3rd year undergrad,econ,Breaking Bad,0.6269868016
6/24/2025 14:59:47,K,5,3,2,"DATA 8, DATA 100",STAT 133,Python,3rd year undergrad,bio,Peaky Blinders,0.6097652515
6/24/2025 15:24:13,M,6,3,3,Data 8 ,STAT133,Python,4th+ year undergrad,bio,Avatar the Last Airbender ,0.2872336139
6/24/2025 15:52:24,N,6,4,2,"DATA C88C, DATA c104",Stat 20,R,4th+ year undergrad,cogsci,major crimes,0.3160298733
6/24/2025 18:05:37,P,7,3,3,"Data C8, Data C88C, Data C88S, Data 198","STAT 20
STAT 133",Python,4th+ year undergrad,econ,csi: las vegas,0.1139842553
6/24/2025 15:26:52,Q,8,5,4,"Data 8, Data C104, Data C100, Data C140, Data 144, Data C101",Stat20,Python,3rd year undergrad,cogsci,,0.6432288672
6/24/2025 15:12:54,R,8,3,4,Data 8,none,R,4th+ year undergrad,bio,Parks and Rec,0.3854163746
6/24/2025 14:54:19,S,9,3,2,"Data 8, Data C88C, Data C88S",Stat 20,Python,4th+ year undergrad,econ,"New Girl, Brooklyn Nine-Nine, Attack on Titan",0.7082224272